,snr,svm_train,svm_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
0,0.25,0.5,0.5,0.6884987673481506,0.6451632217609661,0.9096399918700718,0.6792032317972168,0.961481963573944,0.6778419494285007
1,0.25,0.692175664068896,0.6726067534463711,0.694019689522853,0.6473994319272485,0.77723299153371,0.6745115020035214,0.9787027073782818,0.714853076013817
2,0.2,0.7059598614718356,0.6215628672150411,0.7430090614200472,0.5851134538835777,0.7865295603786142,0.6265509500246342,0.9976373835927612,0.5688938372383212
3,0.2,0.7244400075389016,0.5997001499250375,0.5,0.55,0.8547673137933015,0.6346646116046711,0.9496401041772894,0.6236004745376629
4,0.25,0.6972592262234955,0.6947565543071161,0.7339324780517276,0.6547093206797622,0.7739098031900086,0.6828234626080544,0.7636774095948552,0.6992627293939014
5,0.2,0.5,0.5,0.6281789886668717,0.6063959644555043,0.7100048897484982,0.6486636993930186,0.9973809523809524,0.6660040957297705
6,0.2,0.5,0.5,0.5,0.6,0.8530058189257383,0.6541723888856241,0.8522504022293957,0.6321538747804247
7,0.2,0.5,0.5,0.5,0.5,0.690542523986673,0.5971059577677225,0.999386678077307,0.6512183013065366
8,0.25,0.7543498168498168,0.6502880760116354,0.7129168471629299,0.6564987985440773,0.7953919812270187,0.6536758468569613,0.9992088975755036,0.7012124214935056
9,0.3,0.7973507429433031,0.6898101898101898,0.776240598669404,0.7158968791111648,0.9095439997248496,0.7326764517389518,0.8283838035894775,0.8076178736727335
10,0.3,0.7889354066985645,0.7129660360659364,0.815181374495063,0.7264910106663203,0.8243205059015658,0.7164494673927724,0.9426990235254732,0.7595463552575621
11,0.3,0.7410714285714286,0.7276315789473684,0.7303270735681874,0.7244482290576092,0.7901097865039447,0.749867170875586,0.7628843500391225,0.755549501341463
12,0.25,0.7777512229855352,0.652684199087155,0.5,0.7,0.6676898345087003,0.7350608959304792,0.8008330686033411,0.7569817388493859
13,0.3,0.8004890130034892,0.6958187232816178,0.7326946525026107,0.633920562674595,0.8018955520197031,0.7046873332820913,0.8297646009492889,0.7772144868284575
